rank,trend,streams,track_id
1,SAME_POSITION,48219.0,0VjIjW4GlUZAMYd2vXMi3b
2,SAME_POSITION,44994.0,24Yi9hE78yPEbZ4kxyoXAI
3,MOVE_UP,37644.0,1rgnBhdG2JDFTbYkYRZAku
4,MOVE_DOWN,37295.0,719aY5gAzJbx2PHjyalZQu
5,SAME_POSITION,29524.0,0nbXyq5TXYPCO7pr3N8S4I
6,SAME_POSITION,28409.0,3PfIrDoz19wz7qK7tYeu62
7,MOVE_UP,26023.0,7eJMfftS33KTjuF7lTsMCx
8,MOVE_UP,25247.0,7k4t7uLgtOxPwTpFmtJNTY
9,MOVE_DOWN,24491.0,4n0Ke1KJsPHvd7xRoU29E2
10,SAME_POSITION,23921.0,3H7ihDc1dqLriiWXwsc2po
11,SAME_POSITION,23551.0,61ZM92T2zaXIVsqncThQzC
12,MOVE_UP,21316.0,7vgv8KZBSo0TPzyIWG9yzV
13,MOVE_DOWN,20682.0,2TrhpvxwuF6hrboTdRXwnS
14,SAME_POSITION,20173.0,2rRJrJEo19S2J82BDsQ3F7
15,SAME_POSITION,19770.0,22LAwLoDA5b4AaGSkg6bKW
16,SAME_POSITION,18685.0,7qEHsqek33rTcFNT9PFqLf
17,SAME_POSITION,18530.0,1Cv1YLb4q0RzL6pybtaMLo
18,MOVE_UP,18419.0,3Dv1eDb0MEgF93GpLXlucZ
19,MOVE_UP,17934.0,2gMXnyrvIjhVBUZwvLZDMP
20,MOVE_UP,17859.0,2tnVG71enUj33Ic2nFN6kZ
21,MOVE_DOWN,17486.0,7szuecWAPwGoV1e5vGu8tl
22,MOVE_UP,17336.0,4poybupy26pTWPr9zY1i7h
23,MOVE_UP,17029.0,696DnlkuDOXcMAnKlTgXXK
24,SAME_POSITION,17017.0,4nK5YrxbMGZstTLbvj6Gxw
25,MOVE_UP,16956.0,6hw1Sy9wZ8UCxYGdpKrU6M
26,MOVE_DOWN,16622.0,1KKooKZBpTAPVFjGvStjsa
27,MOVE_UP,16500.0,3AzjcOeAmA57TIOr9zF1ZW
28,SAME_POSITION,16088.0,4umIPjkehX1r7uhmGvXiSV
29,MOVE_UP,15597.0,78qd8dvwea0Gosb6Fe6j3k
30,MOVE_UP,15440.0,017PF4Q3l4DBUiWoXk4OWT
31,MOVE_DOWN,15145.0,4HDCLYli2SUdkq9OjmvhSD
32,MOVE_DOWN,15036.0,4VyJtzcNhnV9gPEgjYzI8L
33,MOVE_UP,14987.0,55CHeLEfn5iJ0IIkgaa4si
34,SAME_POSITION,14696.0,7CHi4DtfK4heMlQaudCuHK
35,MOVE_UP,14574.0,5HEtuK03ygUzqca6yfgOYZ
36,SAME_POSITION,14338.0,3ZCTVFBt2Brf31RLEnCkWJ
37,MOVE_UP,14201.0,5yY9lUy8nbvjM1Uyo1Uqoc
38,SAME_POSITION,14013.0,3cqPu20DGTGUoZtbJH2Dmi
39,MOVE_UP,13887.0,2b8fOow8UzyDFAE27YhOZM
40,MOVE_DOWN,13886.0,2Fxmhks0bxGSBdJ92vM42m
41,MOVE_DOWN,13725.0,14P8s5aiDr32gcQ5ESaYBO
42,SAME_POSITION,13366.0,6v3KW9xbzN5yKLt9YKDYA2
43,SAME_POSITION,13273.0,7FIWs0pqAYbP91WWM0vlTQ
44,SAME_POSITION,12523.0,3tSy9yUo0rb1LR61CS5O7l
45,MOVE_UP,12482.0,21jGcNKet2qwijlDFuPiPb
46,SAME_POSITION,12439.0,3frUvGrmGcay91lvFbOgsN
47,MOVE_UP,12291.0,2grAr8pWMuLWn8ZYEE9wDV
48,MOVE_DOWN,11780.0,6xMBPfgaEQKshwp7oYrtP4
49,MOVE_UP,11477.0,6cy3ki60hLwimwIje7tALf
50,SAME_POSITION,11456.0,2alc8VZAzDgdAsL2QMk3hu
51,MOVE_UP,11402.0,380HmhwTE2NJgawn1NwkXi
52,MOVE_UP,11306.0,1jaTQ3nqY3oAAYyCTbIvnM
53,MOVE_DOWN,11262.0,2p8IUWQDrpjuFltbdgLOag
54,MOVE_UP,10991.0,62aP9fBQKYKxi7PDXwcUAS
55,MOVE_UP,10907.0,7lidXGPXPYLNThITAOTlkK
56,MOVE_DOWN,10897.0,73SpzrcaHk0RQPFP73vqVR
57,MOVE_DOWN,10809.0,79s5XnCN4TJKTVMSmOx8Ep
58,MOVE_UP,10540.0,0u2P5u6lvoDfwTYjAADbn4
59,MOVE_DOWN,10522.0,0lSZh5W0wDeurkGzLYY6hf
60,MOVE_DOWN,10518.0,3R3rQ7FbTJdsi5She10YvI
61,MOVE_UP,10340.0,67ojvEGRPAUCOohuMPqoRC
62,SAME_POSITION,10304.0,0hVXuCcriWRGvwMV1r5Yn9
63,MOVE_UP,10202.0,70eFcWOvlMObDhURTqT4Fv
64,MOVE_UP,10170.0,0mjAU3yKR1QnXnHtjGJqTM
65,MOVE_DOWN,10170.0,2nC3QhMI9reBIOWutbU3Tj
66,MOVE_UP,10009.0,3jjujdWJ72nww5eGnfs2E7
67,MOVE_DOWN,9964.0,2kJwzbxV2ppxnQoYw4GLBZ
68,MOVE_UP,9853.0,6oJ6le65B3SEqPwMRNXWjY
69,SAME_POSITION,9832.0,76nqCfJOcFFWBJN32PAksn
70,MOVE_DOWN,9675.0,7IxGslFZA5QhgXbUsDmcjf
71,MOVE_UP,9458.0,3eekarcy7kvN4yt5ZFzltW
72,SAME_POSITION,9410.0,3FGiFUJRRp5RGikVrs6kig
73,MOVE_UP,9268.0,6zEgnpM0qYmHLDnh8WPejL
74,MOVE_UP,9070.0,2VxeLyX666F8uXCJ0dZF8B
75,MOVE_DOWN,9016.0,3g0mEQx3NTanacLseoP0Gw
76,MOVE_DOWN,8912.0,4Of7rzpRpV1mWRbhp5rAqG
77,MOVE_DOWN,8873.0,4wNIkl5XGiAACjFBlDWuSd
78,SAME_POSITION,8760.0,5tZWtGT65sMrDVPB5H444n
79,MOVE_DOWN,8624.0,6Ajx6tMDxWCMMvS19hkUdr
80,SAME_POSITION,8521.0,0K5vPCPPPQYzrKHc17qB1I
81,MOVE_UP,8164.0,0X4hMHBj4Ra6h1tIQGl1CH
82,SAME_POSITION,8141.0,033if6Adj8fwBYsQzHOfQ8
83,MOVE_DOWN,8135.0,0BD9boQC7jUTWkAoib4Z0d
84,MOVE_UP,8072.0,1DFD5Fotzgn6yYXkYsKiGs
85,MOVE_DOWN,7979.0,5Bj9rLRVpf5xxQwhlyOOeh
86,MOVE_UP,7933.0,25sgk305KZfyuqVBQIahim
87,MOVE_UP,7927.0,3yOlyBJuViE2YSGn3nVE1K
88,MOVE_UP,7762.0,6NfrH0ANGmgBXyxgV2PeXt
89,MOVE_DOWN,7714.0,1V7JaMp11LKGwKiVmSetf0
90,MOVE_DOWN,7655.0,4D4tA2ara3ihoOvjupr8cG
91,MOVE_DOWN,7633.0,16wAOAZ2OkqoIDN7TpChjR
92,MOVE_DOWN,7631.0,4TnFANpjVwVKWzkxNzIyFH
93,MOVE_UP,7629.0,38YP1STiBe3AZevFFJILf4
94,MOVE_DOWN,7610.0,0JjM9bKm4wrwohMslcm892
95,MOVE_UP,7503.0,4cSSL3YafYjM3yjgFO1vJg
96,MOVE_DOWN,7389.0,2kJu14V7hbZw3I4K8L8SXb
97,MOVE_UP,7343.0,0bMbDctzMmTyK2j74j3nF3
98,MOVE_UP,7341.0,02itaCXOdC54J0ISjqqFAp
99,MOVE_DOWN,7333.0,7Ek9e3eIuktIFjpDRQfmHE
100,MOVE_UP,7316.0,0gThlZWwZWkDqRKGOz2CN1
101,MOVE_UP,7305.0,5WHTFyqSii0lmT9R21abT8
102,MOVE_DOWN,7301.0,43zdsphuZLzwA9k4DJhU0I
103,MOVE_UP,7282.0,6LcauUZjF1eXQrgqMUecHX
104,MOVE_UP,7256.0,6osaMSJh9NguagEDQcZaKx
105,MOVE_UP,7244.0,3jCMdvc8bFOKChETbFV9Zc
106,MOVE_DOWN,7241.0,2ZTYlnhhV1UAReg7wIGolx
107,MOVE_DOWN,7205.0,0qaWEvPkts34WF68r8Dzx9
108,MOVE_DOWN,7082.0,2chEq24EHjyw9Zjmwq0hlS
109,MOVE_DOWN,7021.0,0Dlcu2fgHklOnajVu2dUNU
110,MOVE_DOWN,7020.0,7N06jo3EnV792VFaG8vuW6
111,MOVE_UP,6941.0,4VgYtXCVJ7IbWAZ5ryfvEQ
112,MOVE_DOWN,6924.0,1hoLUVBx0ixX3kn0EX0P5n
113,MOVE_DOWN,6883.0,6bnF93Rx87YqUBLSgjiMU8
114,MOVE_UP,6852.0,0E9ZjEAyAwOXZ7wJC0PD33
115,MOVE_DOWN,6821.0,7aiClxsDWFRQ0Kzk5KI5ku
116,MOVE_DOWN,6780.0,0TrPqhAMoaKUFLR7iYDokf
117,MOVE_DOWN,6776.0,2PGA1AsJal6cyMNmKyE56q
118,MOVE_DOWN,6707.0,2u8AXJyk8pICzj2wyPBL0b
119,MOVE_UP,6604.0,285pBltuF7vW8TeWk8hdRR
120,MOVE_UP,6530.0,4vUmTMuQqjdnvlZmAH61Qk
121,SAME_POSITION,6497.0,2ZlCGeK30BLRNSPC832pNZ
122,MOVE_UP,6471.0,2ksOAxtIxY8yElEWw8RhgK
123,MOVE_DOWN,6434.0,7C1trmcQQ5n5RNy4l6ziCv
124,MOVE_UP,6434.0,6ap9lSRJ0iLriGLqoJ44cq
125,MOVE_UP,6419.0,5qrSlOut2rNAWv3ubArkNy
126,MOVE_UP,6404.0,14sOS5L36385FJ3OL8hew4
127,MOVE_UP,6397.0,36orMWv2PgvnzXsd5CJ0yL
128,MOVE_UP,6350.0,38RIEav39FGi86jppxO0du
129,MOVE_DOWN,6341.0,5GyyPRvEwdI4wJSUbzxHQv
130,MOVE_UP,6331.0,2YpeDb67231RjR0MgVLzsG
131,MOVE_DOWN,6329.0,2qxmye6gAegTMjLKEBoR3d
132,SAME_POSITION,6322.0,5a6pdCHlWS2ekOOQ70QnAr
133,MOVE_UP,6229.0,0uI7yAKUf52Cn7y3sYyjiX
134,SAME_POSITION,6227.0,57e7dy1hUpKVg1aUvKkx5R
135,MOVE_UP,6213.0,2kkcJ8tSDV42LdWcPjy6We
136,MOVE_DOWN,6184.0,7ygVaACDENw4PgLbN1awFE
137,MOVE_UP,6109.0,35KmOEIUqAGn02t7n4qaIr
138,MOVE_DOWN,6096.0,28SjW23Jrpgok6orjbFWdB
139,MOVE_UP,6063.0,0uUNN1nSoUx1A4fkDCWDQ7
140,MOVE_DOWN,6057.0,4l0Mvzj72xxOpRrp6h8nHi
141,MOVE_UP,6053.0,6bzxAa3VCiIGzhjsxbHo5q
142,MOVE_DOWN,6032.0,5QO79kh1waicV47BqGRL3g
143,MOVE_UP,5976.0,2DEZmgHKAvm41k4J3R2E9Y
144,MOVE_UP,5966.0,0pqnGHJpmpxLKifKRmU6WP
145,MOVE_UP,5958.0,1rCcsYnmqbMYdkG7kS9GC5
146,MOVE_DOWN,5955.0,07KXEDMj78x68D884wgVEm
147,MOVE_DOWN,5899.0,0Odu228D0yGcFySGuxU4rY
148,MOVE_UP,5882.0,4u7EnebtmKWzUH433cf5Qv
149,MOVE_UP,5864.0,6gi6y1xwmVszDWkUqab1qw
150,MOVE_DOWN,5832.0,3VFT90E0yYjdHSFoGv02us
151,MOVE_DOWN,5790.0,7IGFSGKALyAxmVI8L4vqs9
152,MOVE_UP,5784.0,5Xhqh4lwJPtMUTsdBztN1a
153,MOVE_UP,5762.0,0U6bQIAh6MCGo1xjbIIx2S
154,MOVE_UP,5743.0,2zXvdZQNTUSHc0Fl3GNNwR
155,MOVE_UP,5718.0,5XM7tx8ovQ9UrYqUowW1AK
156,MOVE_DOWN,5703.0,0WLhJ2NBuZHuoHY8pLVHJ0
157,MOVE_UP,5689.0,2ajzBr7vwHTEBeqDzcsNRC
158,MOVE_UP,5689.0,3dfCKQy9JY2ixI58zTeUn9
159,MOVE_UP,5680.0,2x0RZdkZcD8QRI53XT4GI5
160,MOVE_UP,5655.0,0e7ipj03S05BNilyu5bRzt
161,MOVE_DOWN,5648.0,4IrH8L9pkMVSeA6uJZjtT8
162,MOVE_DOWN,5628.0,1Sb7QJRawbARgpMqyYNMkT
163,MOVE_UP,5624.0,4S2uhQE8L9V6p7rj7SiauJ
164,MOVE_UP,5607.0,6gBFPUFcJLzWGx4lenP6h2
165,NEW_ENTRY,5607.0,0TId5TSbdcBP32haUV4Aet
166,MOVE_DOWN,5607.0,3U4isOIWM3VvDubwSI3y7a
167,MOVE_DOWN,5580.0,3kW4z2pIj5VY5fLjBrMRL5
168,MOVE_UP,5563.0,51Fjme0JiitpyXKuyQiCDo
169,MOVE_UP,5548.0,7AzlLxHn24DxjgQX73F9fU
170,MOVE_UP,5518.0,4xkOaSrkexMciUUogZKVTS
171,MOVE_DOWN,5516.0,2GdxQw8NwoeH8tKySg6nym
172,MOVE_UP,5508.0,1v7L65Lzy0j0vdpRjJewt1
173,MOVE_DOWN,5508.0,2wrJq5XKLnmhRXHIAf9xBa
174,MOVE_DOWN,5504.0,1Lulg5ZiMEXy3QNwb1PB8I
175,MOVE_DOWN,5500.0,3YXJqU43gOzDL9Oxu4hpHy
176,MOVE_UP,5482.0,4UOXo3xWnxYdTf3sFyRaUG
177,MOVE_UP,5480.0,5DqdesEfbRyOlSS3Tf6c29
178,MOVE_DOWN,5475.0,6JZrs7FFUkTpinCxM1DG3E
179,MOVE_UP,5474.0,07f2b3CTdgKKlhv0mqUksz
180,MOVE_UP,5453.0,19n68Fcyr7LCfDCKdscjLI
181,MOVE_UP,5436.0,7qiZfU4dY1lWllzX7mPBI3
182,MOVE_DOWN,5424.0,0DiDStADDVh3SvAsoJAFMk
183,MOVE_UP,5397.0,3bidbhpOYeV4knp8AIu8Xn
184,MOVE_DOWN,5388.0,0YU17F0BlVXvmx5ytsR43w
185,MOVE_UP,5388.0,1rqqCSm0Qe4I9rUvWncaom
186,MOVE_UP,5387.0,1R4xkZXQUQ8QJtAdwHkSgC
187,MOVE_DOWN,5385.0,7jUeurloPULnhaXqbw6RGn
188,MOVE_DOWN,5332.0,6Ozh9Ok6h4Oi1wUSLtBseN
189,MOVE_UP,5329.0,3ee8Jmje8o58CHK66QrVC2
190,NEW_ENTRY,5327.0,2374M0fQpWi3dLnB54qaLX
191,NEW_ENTRY,5317.0,7wsmIIm0xWmtP7TmACXkJn
192,MOVE_UP,5313.0,1iSqfoUFnQwV0QW1EfUit8
193,NEW_ENTRY,5311.0,5RgBnDtHKFHgtVdqabjGE3
194,MOVE_UP,5276.0,58wyJLv6yH1La9NIZPl3ne
195,MOVE_DOWN,5265.0,36J10AwMabBYxgNrV2S8gd
196,MOVE_DOWN,5244.0,430efk5Jc5wGay4EWP4snS
197,MOVE_UP,5226.0,4ZLzoOkj0MPWrTLvooIuaa
198,MOVE_DOWN,5181.0,1l3WcVBNpaXBIWGYefPV9b
199,MOVE_DOWN,5173.0,60iSKGrGazRzICtMjADNSM
200,NEW_ENTRY,5172.0,3rAyyKRZMj6b77vebFgxKd
1,SAME_POSITION,49495.0,0VjIjW4GlUZAMYd2vXMi3b
2,SAME_POSITION,46394.0,24Yi9hE78yPEbZ4kxyoXAI
3,SAME_POSITION,37527.0,1rgnBhdG2JDFTbYkYRZAku
4,SAME_POSITION,35110.0,719aY5gAzJbx2PHjyalZQu
5,SAME_POSITION,29352.0,0nbXyq5TXYPCO7pr3N8S4I
6,SAME_POSITION,28229.0,3PfIrDoz19wz7qK7tYeu62
7,SAME_POSITION,25822.0,7eJMfftS33KTjuF7lTsMCx
8,SAME_POSITION,25503.0,7k4t7uLgtOxPwTpFmtJNTY
9,MOVE_UP,25250.0,3H7ihDc1dqLriiWXwsc2po
10,MOVE_UP,23942.0,61ZM92T2zaXIVsqncThQzC
11,MOVE_DOWN,23243.0,4n0Ke1KJsPHvd7xRoU29E2
12,SAME_POSITION,21604.0,7vgv8KZBSo0TPzyIWG9yzV
13,MOVE_UP,20864.0,2rRJrJEo19S2J82BDsQ3F7
14,MOVE_UP,20833.0,22LAwLoDA5b4AaGSkg6bKW
15,MOVE_UP,19431.0,7qEHsqek33rTcFNT9PFqLf
16,MOVE_DOWN,19134.0,2TrhpvxwuF6hrboTdRXwnS
17,MOVE_UP,18602.0,3Dv1eDb0MEgF93GpLXlucZ
18,MOVE_DOWN,18547.0,1Cv1YLb4q0RzL6pybtaMLo
19,MOVE_UP,18354.0,2tnVG71enUj33Ic2nFN6kZ
20,MOVE_DOWN,18123.0,2gMXnyrvIjhVBUZwvLZDMP
21,MOVE_UP,17753.0,4nK5YrxbMGZstTLbvj6Gxw
22,MOVE_DOWN,17526.0,7szuecWAPwGoV1e5vGu8tl
23,MOVE_DOWN,17506.0,4poybupy26pTWPr9zY1i7h
24,MOVE_UP,16755.0,6hw1Sy9wZ8UCxYGdpKrU6M
25,MOVE_DOWN,16753.0,696DnlkuDOXcMAnKlTgXXK
26,MOVE_UP,16445.0,4umIPjkehX1r7uhmGvXiSV
27,SAME_POSITION,16063.0,3AzjcOeAmA57TIOr9zF1ZW
28,MOVE_UP,16034.0,78qd8dvwea0Gosb6Fe6j3k
29,MOVE_UP,16031.0,017PF4Q3l4DBUiWoXk4OWT
30,MOVE_UP,15719.0,4HDCLYli2SUdkq9OjmvhSD
31,MOVE_UP,15555.0,7CHi4DtfK4heMlQaudCuHK
32,MOVE_DOWN,15205.0,1KKooKZBpTAPVFjGvStjsa
33,SAME_POSITION,15129.0,55CHeLEfn5iJ0IIkgaa4si
34,MOVE_DOWN,14691.0,4VyJtzcNhnV9gPEgjYzI8L
35,MOVE_UP,14488.0,3ZCTVFBt2Brf31RLEnCkWJ
36,MOVE_UP,14461.0,5yY9lUy8nbvjM1Uyo1Uqoc
37,MOVE_UP,14117.0,6v3KW9xbzN5yKLt9YKDYA2
38,MOVE_DOWN,14070.0,5HEtuK03ygUzqca6yfgOYZ
39,MOVE_UP,14061.0,2Fxmhks0bxGSBdJ92vM42m
40,MOVE_DOWN,13952.0,3cqPu20DGTGUoZtbJH2Dmi
41,MOVE_DOWN,13943.0,2b8fOow8UzyDFAE27YhOZM
42,MOVE_UP,13497.0,7FIWs0pqAYbP91WWM0vlTQ
43,MOVE_UP,13308.0,3frUvGrmGcay91lvFbOgsN
44,MOVE_DOWN,12914.0,14P8s5aiDr32gcQ5ESaYBO
45,SAME_POSITION,12706.0,21jGcNKet2qwijlDFuPiPb
46,MOVE_UP,12286.0,2grAr8pWMuLWn8ZYEE9wDV
47,MOVE_UP,12221.0,380HmhwTE2NJgawn1NwkXi
48,MOVE_DOWN,12132.0,3tSy9yUo0rb1LR61CS5O7l
49,MOVE_UP,11916.0,62aP9fBQKYKxi7PDXwcUAS
50,SAME_POSITION,11704.0,2alc8VZAzDgdAsL2QMk3hu
51,MOVE_DOWN,11459.0,6xMBPfgaEQKshwp7oYrtP4
52,SAME_POSITION,11404.0,1jaTQ3nqY3oAAYyCTbIvnM
53,MOVE_DOWN,11244.0,6cy3ki60hLwimwIje7tALf
54,MOVE_DOWN,10992.0,2p8IUWQDrpjuFltbdgLOag
55,MOVE_UP,10928.0,79s5XnCN4TJKTVMSmOx8Ep
56,MOVE_UP,10848.0,0lSZh5W0wDeurkGzLYY6hf
57,MOVE_DOWN,10813.0,7lidXGPXPYLNThITAOTlkK
58,MOVE_UP,10546.0,0hVXuCcriWRGvwMV1r5Yn9
59,MOVE_DOWN,10504.0,0u2P5u6lvoDfwTYjAADbn4
60,MOVE_UP,10447.0,67ojvEGRPAUCOohuMPqoRC
61,MOVE_UP,10371.0,0mjAU3yKR1QnXnHtjGJqTM
62,MOVE_UP,10308.0,3jjujdWJ72nww5eGnfs2E7
63,MOVE_DOWN,10293.0,73SpzrcaHk0RQPFP73vqVR
64,MOVE_DOWN,10085.0,70eFcWOvlMObDhURTqT4Fv
65,MOVE_UP,10015.0,6oJ6le65B3SEqPwMRNXWjY
66,MOVE_DOWN,9987.0,3R3rQ7FbTJdsi5She10YvI
67,MOVE_DOWN,9972.0,2nC3QhMI9reBIOWutbU3Tj
68,MOVE_UP,9939.0,76nqCfJOcFFWBJN32PAksn
69,MOVE_UP,9625.0,6zEgnpM0qYmHLDnh8WPejL
70,MOVE_DOWN,9501.0,2kJwzbxV2ppxnQoYw4GLBZ
71,MOVE_UP,9435.0,3FGiFUJRRp5RGikVrs6kig
72,MOVE_DOWN,9410.0,7IxGslFZA5QhgXbUsDmcjf
73,MOVE_DOWN,9348.0,3eekarcy7kvN4yt5ZFzltW
74,MOVE_UP,9231.0,4Of7rzpRpV1mWRbhp5rAqG
75,SAME_POSITION,9058.0,3g0mEQx3NTanacLseoP0Gw
76,MOVE_DOWN,8873.0,2VxeLyX666F8uXCJ0dZF8B
77,MOVE_UP,8684.0,5tZWtGT65sMrDVPB5H444n
78,MOVE_DOWN,8643.0,4wNIkl5XGiAACjFBlDWuSd
79,MOVE_UP,8605.0,1DFD5Fotzgn6yYXkYsKiGs
80,SAME_POSITION,8530.0,0K5vPCPPPQYzrKHc17qB1I
81,SAME_POSITION,8314.0,0X4hMHBj4Ra6h1tIQGl1CH
82,MOVE_DOWN,8295.0,6Ajx6tMDxWCMMvS19hkUdr
83,SAME_POSITION,8283.0,0BD9boQC7jUTWkAoib4Z0d
84,MOVE_UP,8259.0,2kJu14V7hbZw3I4K8L8SXb
85,MOVE_UP,7959.0,1V7JaMp11LKGwKiVmSetf0
86,MOVE_UP,7860.0,0JjM9bKm4wrwohMslcm892
87,MOVE_DOWN,7859.0,25sgk305KZfyuqVBQIahim
88,SAME_POSITION,7852.0,6NfrH0ANGmgBXyxgV2PeXt
89,MOVE_DOWN,7831.0,033if6Adj8fwBYsQzHOfQ8
90,MOVE_UP,7816.0,0gThlZWwZWkDqRKGOz2CN1
91,MOVE_UP,7788.0,4TnFANpjVwVKWzkxNzIyFH
92,MOVE_DOWN,7775.0,5Bj9rLRVpf5xxQwhlyOOeh
93,MOVE_UP,7634.0,2ZTYlnhhV1UAReg7wIGolx
94,MOVE_UP,7629.0,02itaCXOdC54J0ISjqqFAp
95,MOVE_UP,7623.0,6osaMSJh9NguagEDQcZaKx
96,MOVE_DOWN,7623.0,16wAOAZ2OkqoIDN7TpChjR
97,MOVE_UP,7612.0,5WHTFyqSii0lmT9R21abT8
98,MOVE_DOWN,7591.0,4D4tA2ara3ihoOvjupr8cG
99,MOVE_DOWN,7586.0,3yOlyBJuViE2YSGn3nVE1K
100,MOVE_DOWN,7533.0,38YP1STiBe3AZevFFJILf4
101,MOVE_UP,7471.0,43zdsphuZLzwA9k4DJhU0I
102,MOVE_DOWN,7463.0,4cSSL3YafYjM3yjgFO1vJg
103,MOVE_UP,7413.0,7N06jo3EnV792VFaG8vuW6
104,MOVE_DOWN,7381.0,0bMbDctzMmTyK2j74j3nF3
105,MOVE_DOWN,7344.0,6LcauUZjF1eXQrgqMUecHX
106,MOVE_DOWN,7337.0,3jCMdvc8bFOKChETbFV9Zc
107,MOVE_DOWN,7251.0,7Ek9e3eIuktIFjpDRQfmHE
108,MOVE_UP,7230.0,7aiClxsDWFRQ0Kzk5KI5ku
109,MOVE_UP,7144.0,4VgYtXCVJ7IbWAZ5ryfvEQ
110,MOVE_DOWN,7138.0,0Dlcu2fgHklOnajVu2dUNU
111,MOVE_UP,7135.0,0E9ZjEAyAwOXZ7wJC0PD33
112,SAME_POSITION,7107.0,1hoLUVBx0ixX3kn0EX0P5n
113,MOVE_DOWN,7061.0,0qaWEvPkts34WF68r8Dzx9
114,MOVE_UP,6925.0,2u8AXJyk8pICzj2wyPBL0b
115,MOVE_UP,6898.0,2PGA1AsJal6cyMNmKyE56q
116,MOVE_UP,6834.0,7C1trmcQQ5n5RNy4l6ziCv
117,MOVE_DOWN,6797.0,0TrPqhAMoaKUFLR7iYDokf
118,NEW_ENTRY,6754.0,1lGHa2pwYzxQHFBUynhLtO
119,MOVE_UP,6682.0,2ZlCGeK30BLRNSPC832pNZ
120,MOVE_DOWN,6664.0,285pBltuF7vW8TeWk8hdRR
121,MOVE_UP,6663.0,35KmOEIUqAGn02t7n4qaIr
122,MOVE_UP,6641.0,36orMWv2PgvnzXsd5CJ0yL
123,MOVE_DOWN,6615.0,2chEq24EHjyw9Zjmwq0hlS
124,MOVE_DOWN,6576.0,2ksOAxtIxY8yElEWw8RhgK
125,MOVE_DOWN,6482.0,6bnF93Rx87YqUBLSgjiMU8
126,MOVE_DOWN,6443.0,5qrSlOut2rNAWv3ubArkNy
127,MOVE_DOWN,6442.0,14sOS5L36385FJ3OL8hew4
128,MOVE_DOWN,6426.0,4vUmTMuQqjdnvlZmAH61Qk
129,MOVE_UP,6406.0,2YpeDb67231RjR0MgVLzsG
130,MOVE_DOWN,6403.0,5GyyPRvEwdI4wJSUbzxHQv
131,MOVE_DOWN,6321.0,38RIEav39FGi86jppxO0du
132,MOVE_UP,6305.0,2kkcJ8tSDV42LdWcPjy6We
133,SAME_POSITION,6281.0,0uI7yAKUf52Cn7y3sYyjiX
134,MOVE_DOWN,6247.0,6ap9lSRJ0iLriGLqoJ44cq
135,MOVE_DOWN,6241.0,2qxmye6gAegTMjLKEBoR3d
136,MOVE_DOWN,6237.0,5a6pdCHlWS2ekOOQ70QnAr
137,MOVE_UP,6220.0,4l0Mvzj72xxOpRrp6h8nHi
138,MOVE_UP,6203.0,6bzxAa3VCiIGzhjsxbHo5q
139,MOVE_UP,6105.0,07KXEDMj78x68D884wgVEm
140,MOVE_DOWN,6036.0,7ygVaACDENw4PgLbN1awFE
141,MOVE_UP,6017.0,5Xhqh4lwJPtMUTsdBztN1a
142,MOVE_UP,6015.0,0Odu228D0yGcFySGuxU4rY
143,MOVE_UP,6000.0,0pqnGHJpmpxLKifKRmU6WP
144,MOVE_UP,5990.0,1rCcsYnmqbMYdkG7kS9GC5
145,MOVE_UP,5988.0,6gi6y1xwmVszDWkUqab1qw
146,MOVE_UP,5988.0,0TId5TSbdcBP32haUV4Aet
147,MOVE_UP,5945.0,0U6bQIAh6MCGo1xjbIIx2S
148,MOVE_DOWN,5921.0,2DEZmgHKAvm41k4J3R2E9Y
149,MOVE_UP,5886.0,1Sb7QJRawbARgpMqyYNMkT
150,MOVE_DOWN,5878.0,4u7EnebtmKWzUH433cf5Qv
151,MOVE_UP,5856.0,0WLhJ2NBuZHuoHY8pLVHJ0
152,MOVE_UP,5801.0,5XM7tx8ovQ9UrYqUowW1AK
153,MOVE_DOWN,5757.0,3VFT90E0yYjdHSFoGv02us
154,SAME_POSITION,5756.0,2zXvdZQNTUSHc0Fl3GNNwR
155,MOVE_DOWN,5753.0,5QO79kh1waicV47BqGRL3g
156,MOVE_UP,5748.0,2ajzBr7vwHTEBeqDzcsNRC
157,MOVE_DOWN,5740.0,0uUNN1nSoUx1A4fkDCWDQ7
158,SAME_POSITION,5736.0,3dfCKQy9JY2ixI58zTeUn9
159,MOVE_DOWN,5726.0,57e7dy1hUpKVg1aUvKkx5R
160,MOVE_UP,5724.0,6gBFPUFcJLzWGx4lenP6h2
161,MOVE_UP,5674.0,3bidbhpOYeV4knp8AIu8Xn
162,MOVE_DOWN,5663.0,28SjW23Jrpgok6orjbFWdB
163,MOVE_UP,5655.0,6JZrs7FFUkTpinCxM1DG3E
164,MOVE_UP,5639.0,7AzlLxHn24DxjgQX73F9fU
165,MOVE_UP,5636.0,51Fjme0JiitpyXKuyQiCDo
166,MOVE_DOWN,5625.0,2x0RZdkZcD8QRI53XT4GI5
167,MOVE_UP,5605.0,4UOXo3xWnxYdTf3sFyRaUG
168,MOVE_DOWN,5587.0,0e7ipj03S05BNilyu5bRzt
169,MOVE_UP,5569.0,2wrJq5XKLnmhRXHIAf9xBa
170,MOVE_UP,5560.0,07f2b3CTdgKKlhv0mqUksz
