rank,date,region,trend,streams,track_id
1,2021-07-01,Hong Kong,SAME_POSITION,21319.0,06sDxr7MbbwFyTP1f6rvvl
2,2021-07-01,Hong Kong,SAME_POSITION,19096.0,6PQ88X9TkUIAUIZJHW2upE
3,2021-07-01,Hong Kong,SAME_POSITION,15619.0,32QnXosZq7A11knnBAEqk7
4,2021-07-01,Hong Kong,MOVE_UP,15458.0,2bgTY4UwhfBYhGT4HUYStN
5,2021-07-01,Hong Kong,MOVE_DOWN,15242.0,2P5Eeh29qJrYa1T27cdL3B
6,2021-07-01,Hong Kong,MOVE_UP,13200.0,2Mpuy9fsafkQxX3DSow9xw
7,2021-07-01,Hong Kong,MOVE_DOWN,13074.0,63QmxPL3QlchvXcHLsI6UM
8,2021-07-01,Hong Kong,MOVE_UP,12362.0,4iJyoBOLtHqaGxP12qzhQI
9,2021-07-01,Hong Kong,MOVE_UP,12238.0,4ZtFanR9U6ndgddUvNcjcG
10,2021-07-01,Hong Kong,MOVE_UP,12140.0,3DarAbFujv6eYNliUTyqtz
11,2021-07-01,Hong Kong,MOVE_DOWN,12090.0,1rTnGbIahUmq6fK8RWAXfd
12,2021-07-01,Hong Kong,MOVE_DOWN,11738.0,5Mg4jtsrw6DVRXApAhQm7j
13,2021-07-01,Hong Kong,MOVE_UP,11311.0,2w9A7fvq6ka5CB9l7wDZXG
14,2021-07-01,Hong Kong,MOVE_DOWN,11210.0,0k4d5YPDr1r7FX77VdqWez
15,2021-07-01,Hong Kong,MOVE_DOWN,10928.0,0Q3jOuEpx8Esi2qZMQSghl
16,2021-07-01,Hong Kong,MOVE_UP,10893.0,3Cdpq0qhrgiwPRkR720FZf
17,2021-07-01,Hong Kong,MOVE_DOWN,10837.0,0up477QX11ffSLneXa0xHA
18,2021-07-01,Hong Kong,MOVE_UP,10476.0,596MqWmYLojkoFvgygAteu
19,2021-07-01,Hong Kong,SAME_POSITION,10443.0,4xqUroNrreYU2CobUl84NH
20,2021-07-01,Hong Kong,MOVE_DOWN,10360.0,7Fr7Ag2bQyJl86BtsFmdOW
21,2021-07-01,Hong Kong,SAME_POSITION,9764.0,37BZB0z9T8Xu7U3e65qxFy
22,2021-07-01,Hong Kong,MOVE_DOWN,9543.0,4ckh5VN2HYQ8TzS51Nh7ol
23,2021-07-01,Hong Kong,SAME_POSITION,9056.0,4QgsL3BOO0VvMAFhh2nZVU
24,2021-07-01,Hong Kong,MOVE_UP,8948.0,3jBI3hvc9Z0FUcdyj7spEm
25,2021-07-01,Hong Kong,MOVE_UP,8825.0,48O2Nnm9M11blfiIlh5IBs
26,2021-07-01,Hong Kong,MOVE_DOWN,8785.0,33c5MYdr80WqXws9pj06b4
27,2021-07-01,Hong Kong,MOVE_UP,8708.0,5nujrmhLynf4yMoMtj8AQF
28,2021-07-01,Hong Kong,MOVE_DOWN,8690.0,5liLMCOcyXU45BY9LzyC6r
29,2021-07-01,Hong Kong,MOVE_DOWN,8560.0,3J38ebFuwO7JOMItNdULOu
30,2021-07-01,Hong Kong,MOVE_DOWN,8423.0,4AoYnU8ckSUQnO7Ek0vy38
31,2021-07-01,Hong Kong,MOVE_UP,8299.0,6HU7h9RYOaPRFeh0R3UeAr
32,2021-07-01,Hong Kong,MOVE_DOWN,8295.0,46v9FzDCZyGELTEsAnnXFf
33,2021-07-01,Hong Kong,MOVE_DOWN,8232.0,7MAibcTli4IisCtbHKrGMh
34,2021-07-01,Hong Kong,MOVE_DOWN,8188.0,0uAW2j0sLBHVr3Gs9IGIqf
35,2021-07-01,Hong Kong,MOVE_DOWN,7865.0,0pupuSkMBGpzsqG3fWcyPe
36,2021-07-01,Hong Kong,MOVE_UP,7814.0,4saklk6nie3yiGePpBwUoc
37,2021-07-01,Hong Kong,MOVE_UP,7695.0,3fxNCwlNPWXSaQy2Z5WqrD
38,2021-07-01,Hong Kong,MOVE_DOWN,7495.0,3pciLZ7pj3WiwP8AmKdze8
39,2021-07-01,Hong Kong,MOVE_DOWN,7478.0,3OC84eKMxRJ4x0Hcwl9i4i
40,2021-07-01,Hong Kong,MOVE_UP,7440.0,0wqkdSzqQZDUJXOB6Etp7l
41,2021-07-01,Hong Kong,MOVE_DOWN,7425.0,1jVw3apCOogFU1mOquNIhC
42,2021-07-01,Hong Kong,MOVE_UP,7414.0,7BoobGhD4x5K96Me0hqC8Q
43,2021-07-01,Hong Kong,MOVE_DOWN,7140.0,7EougyUYWZdE1zCzsCA1Sx
44,2021-07-01,Hong Kong,MOVE_DOWN,7091.0,5zFglKYiknIxks8geR8rcL
45,2021-07-01,Hong Kong,MOVE_UP,7066.0,67BtfxlNbhBmCDR2L2l8qd
46,2021-07-01,Hong Kong,MOVE_DOWN,6962.0,65oNGsynAEUS4VipI96N87
47,2021-07-01,Hong Kong,MOVE_DOWN,6959.0,1i5DjVNfPxqMelMdjfI0WR
48,2021-07-01,Hong Kong,MOVE_DOWN,6939.0,4zYVhAyiJySa41foU2F645
49,2021-07-01,Hong Kong,MOVE_DOWN,6781.0,1ubjsQj2DEqPMqC5CCwMEw
50,2021-07-01,Hong Kong,MOVE_DOWN,6760.0,5OPqZ5dEqrdPGatJgnZ8xG
51,2021-07-01,Hong Kong,SAME_POSITION,6604.0,3yFWbtBjZyYeDJifAHYEZ3
52,2021-07-01,Hong Kong,MOVE_DOWN,6480.0,3Q5y7orRW5COIaRKLlfkrT
53,2021-07-01,Hong Kong,SAME_POSITION,6244.0,56Aal9B8gurDIRmlw4y74a
54,2021-07-01,Hong Kong,MOVE_UP,6104.0,0O7O4sssbFxoNoB4QRGra1
55,2021-07-01,Hong Kong,MOVE_DOWN,6039.0,6MCjmGYlw6mQVWRFVgBRvB
56,2021-07-01,Hong Kong,MOVE_UP,5960.0,5wANPM4fQCJwkGd4rN57mH
57,2021-07-01,Hong Kong,MOVE_DOWN,5714.0,24tzRRz8r26gOmQB8PEZwv
58,2021-07-01,Hong Kong,MOVE_UP,5650.0,3iPbmpKBMflYd7UjdYftoj
59,2021-07-01,Hong Kong,MOVE_DOWN,5617.0,1SvgBClOuipapA4pPgToDW
60,2021-07-01,Hong Kong,MOVE_UP,5539.0,4qu63nuBpdn0qHUHuObEj1
61,2021-07-01,Hong Kong,MOVE_DOWN,5522.0,5x9Clj56YLmklm3Zikx2iF
62,2021-07-01,Hong Kong,MOVE_UP,5490.0,2zrhoHlFKxFTRF5aMyxMoQ
63,2021-07-01,Hong Kong,MOVE_UP,5470.0,3Wrjm47oTz2sjIgck11l5e
64,2021-07-01,Hong Kong,MOVE_DOWN,5458.0,53HxUdYRCRMdzYPG0qhGUP
65,2021-07-01,Hong Kong,MOVE_DOWN,5402.0,4t53NE3uBLkTwW9rUgiHC8
66,2021-07-01,Hong Kong,MOVE_UP,5251.0,4cktbXiXOapiLBMprHFErI
67,2021-07-01,Hong Kong,MOVE_DOWN,5245.0,0Os0RD1apkQsWOeF2cV5w2
68,2021-07-01,Hong Kong,MOVE_UP,5165.0,5CZ40GBx1sQ9agT82CLQCT
69,2021-07-01,Hong Kong,MOVE_DOWN,5109.0,3wELjotjK7vdWGYD7G9s6z
70,2021-07-01,Hong Kong,MOVE_UP,5048.0,7qEHsqek33rTcFNT9PFqLf
71,2021-07-01,Hong Kong,MOVE_DOWN,5030.0,0BGwAKW4u8kWOhWFflZxfl
72,2021-07-01,Hong Kong,MOVE_UP,4958.0,6v3KW9xbzN5yKLt9YKDYA2
73,2021-07-01,Hong Kong,MOVE_DOWN,4905.0,2WVbMoHdWCspdiEa7OnG1D
74,2021-07-01,Hong Kong,MOVE_UP,4876.0,0tgVpDi06FyKpA1z0VMD4v
75,2021-07-01,Hong Kong,MOVE_UP,4872.0,4SFknyjLcyTLJFPKD2m96o
76,2021-07-01,Hong Kong,MOVE_DOWN,4844.0,72hTRBM9Grz8MjgPLOlud4
77,2021-07-01,Hong Kong,SAME_POSITION,4806.0,2pn8dNVSpYnAtlKFC8Q0DJ
78,2021-07-01,Hong Kong,MOVE_UP,4719.0,5shbtf9Q9Wx1DQ3bNoF3TH
79,2021-07-01,Hong Kong,MOVE_DOWN,4671.0,69zgyr5HVKdInjeKpq1qHa
80,2021-07-01,Hong Kong,MOVE_DOWN,4621.0,6pJT4f6S8GPQ7hWCDvygrN
81,2021-07-01,Hong Kong,MOVE_UP,4536.0,1nahzW3kfMuwReTka28tH5
82,2021-07-01,Hong Kong,MOVE_DOWN,4497.0,62XpKzUXVB2MYL2adL4UlE
83,2021-07-01,Hong Kong,MOVE_DOWN,4484.0,4IkQXb1IdIziAJmO3FODo7
84,2021-07-01,Hong Kong,MOVE_UP,4478.0,1KjyA2HBaaOgKMMGJq7H2t
85,2021-07-01,Hong Kong,MOVE_DOWN,4366.0,3hU9nGBhYJQwvF8BJ4PUcE
86,2021-07-01,Hong Kong,MOVE_DOWN,4343.0,1qc9E4zCJ5utXDQVIAZlkm
87,2021-07-01,Hong Kong,MOVE_DOWN,4316.0,2xdwCJLfKCkat14mlgR26M
88,2021-07-01,Hong Kong,SAME_POSITION,4288.0,2FgDWCqMCIAATvqr9ozeYm
89,2021-07-01,Hong Kong,MOVE_DOWN,4268.0,1eId3TVzGrwv73YAWAVQMX
90,2021-07-01,Hong Kong,MOVE_UP,4186.0,7xE3HkKaZFhtzrt2FiwNOd
91,2021-07-01,Hong Kong,MOVE_DOWN,4085.0,1zd35Y44Blc1CwwVbW3Qnk
92,2021-07-01,Hong Kong,MOVE_UP,4070.0,0VjIjW4GlUZAMYd2vXMi3b
93,2021-07-01,Hong Kong,MOVE_UP,4060.0,2tGvwE8GcFKwNdAXMnlbfl
94,2021-07-01,Hong Kong,MOVE_DOWN,4037.0,2pXmohBUnD5Li93sgpbPSg
95,2021-07-01,Hong Kong,MOVE_DOWN,4026.0,6oHNXUrt4s5JJIM1WoOwsZ
96,2021-07-01,Hong Kong,MOVE_DOWN,4025.0,56wVfJKtnwlSZtC4NVgIrf
97,2021-07-01,Hong Kong,MOVE_UP,4009.0,4Sq8dTIYcMNkGkxQoZMGle
98,2021-07-01,Hong Kong,MOVE_UP,3939.0,5RwV8BvLfX5injfqYodke9
99,2021-07-01,Hong Kong,MOVE_UP,3925.0,5gE4HG83INsGkkJPkwQVjk
100,2021-07-01,Hong Kong,MOVE_DOWN,3924.0,31sSFHIe4NaxltVFOEIcTa
101,2021-07-01,Hong Kong,MOVE_UP,3890.0,5Gi88IBuzFwSTAAcYcqpqL
102,2021-07-01,Hong Kong,MOVE_UP,3884.0,2QdH0rKlV3d9Y6lWzcnlBH
103,2021-07-01,Hong Kong,SAME_POSITION,3854.0,37gQxPrcu81gpr5SbOlIJO
104,2021-07-01,Hong Kong,MOVE_UP,3849.0,1eMujWp9h2cSEPIiO6xOhN
105,2021-07-01,Hong Kong,MOVE_DOWN,3835.0,331aol4yMUVA93MsVBZV9R
106,2021-07-01,Hong Kong,MOVE_UP,3713.0,3PfIrDoz19wz7qK7tYeu62
107,2021-07-01,Hong Kong,MOVE_UP,3687.0,06XQvnJb53SUYmlWIhUXUi
108,2021-07-01,Hong Kong,MOVE_DOWN,3681.0,1SqvBGCkvXVFDAQf2ZJa02
109,2021-07-01,Hong Kong,MOVE_DOWN,3672.0,2mh20y35EhzqMy6su3sJJA
110,2021-07-01,Hong Kong,MOVE_UP,3665.0,3FAJ6O0NOHQV8Mc5Ri6ENp
111,2021-07-01,Hong Kong,MOVE_DOWN,3658.0,6UQ3QwK20WPfpVybtQAnke
112,2021-07-01,Hong Kong,MOVE_DOWN,3645.0,3PeCYcmMwmxshV64hPSHGS
113,2021-07-01,Hong Kong,MOVE_UP,3641.0,4jPy3l0RUwlUI9T5XHBW2m
114,2021-07-01,Hong Kong,MOVE_UP,3625.0,2VxeLyX666F8uXCJ0dZF8B
115,2021-07-01,Hong Kong,MOVE_UP,3607.0,7qiZfU4dY1lWllzX7mPBI3
116,2021-07-01,Hong Kong,MOVE_DOWN,3597.0,5oYjz2CtZSyX4PEXfuGWOa
117,2021-07-01,Hong Kong,MOVE_UP,3573.0,2MJz8BxxMsERULatmBikDH
118,2021-07-01,Hong Kong,MOVE_UP,3573.0,2wrJq5XKLnmhRXHIAf9xBa
119,2021-07-01,Hong Kong,MOVE_DOWN,3555.0,18zIfBQi4akd3aiTMlvYEY
120,2021-07-01,Hong Kong,MOVE_UP,3554.0,02MWAaffLxlfxAUY7c5dvx
121,2021-07-01,Hong Kong,MOVE_UP,3544.0,5KawlOMHjWeUjQtnuRs22c
122,2021-07-01,Hong Kong,MOVE_UP,3539.0,249gnXrbfmV8NG6jTEMSwD
123,2021-07-01,Hong Kong,MOVE_DOWN,3525.0,5B0kgjHULYJhAQkK5XsMoC
124,2021-07-01,Hong Kong,MOVE_DOWN,3517.0,1ivCIgrYZyE0BvItL4Z8lk
125,2021-07-01,Hong Kong,MOVE_DOWN,3513.0,6RUKPb4LETWmmr3iAEQktW
126,2021-07-01,Hong Kong,MOVE_UP,3513.0,4Ws314Ylb27BVsvlZOy30C
127,2021-07-01,Hong Kong,MOVE_DOWN,3500.0,5K6Ssv4Z3zRvxt0P6EKUAP
128,2021-07-01,Hong Kong,MOVE_DOWN,3484.0,0Eum5dQqpUDgwJiUucG3QU
129,2021-07-01,Hong Kong,MOVE_UP,3479.0,21jGcNKet2qwijlDFuPiPb
130,2021-07-01,Hong Kong,SAME_POSITION,3452.0,18XlJEroUwFo0tLZxscgXE
131,2021-07-01,Hong Kong,MOVE_UP,3434.0,4HBZA5flZLE435QTztThqH
132,2021-07-01,Hong Kong,MOVE_UP,3378.0,0cSkn2l67csUljEy0EEBPn
133,2021-07-01,Hong Kong,MOVE_DOWN,3361.0,53lFtfrl5Of2Hkr5eiNscQ
134,2021-07-01,Hong Kong,MOVE_DOWN,3344.0,68bpbRXf2ICC7yQYZoOykS
135,2021-07-01,Hong Kong,MOVE_DOWN,3303.0,3701AzbzZm6VNfu8auFG01
136,2021-07-01,Hong Kong,MOVE_DOWN,3278.0,2gug6MRv4xQFYi9LA3PJCS
137,2021-07-01,Hong Kong,MOVE_UP,3272.0,2dHoVW9AxJVSRebPRyV2aA
138,2021-07-01,Hong Kong,MOVE_DOWN,3216.0,1zAFaIAd1kek5IEi5AwPvL
139,2021-07-01,Hong Kong,MOVE_UP,3212.0,2FymmKBuog0loCuNXMwQID
140,2021-07-01,Hong Kong,MOVE_UP,3197.0,2gMXnyrvIjhVBUZwvLZDMP
141,2021-07-01,Hong Kong,MOVE_UP,3186.0,2WnAKZefdRHxtBEkRjFOHC
142,2021-07-01,Hong Kong,MOVE_DOWN,3184.0,1kcNUj4udKEFesxdclbh8n
143,2021-07-01,Hong Kong,MOVE_UP,3179.0,5zqObw7wjBgL9TDiAymxPn
144,2021-07-01,Hong Kong,MOVE_UP,3175.0,7thWHDtg50xkfMjeT7yxNy
145,2021-07-01,Hong Kong,MOVE_UP,3151.0,1at8vEqTipJCo1rd6s5JMa
146,2021-07-01,Hong Kong,MOVE_DOWN,3147.0,5cU1O9P0EDA0rPkPDykhIm
147,2021-07-01,Hong Kong,MOVE_DOWN,3142.0,0EMJPg5fNYn068xJgoOFME
148,2021-07-01,Hong Kong,MOVE_DOWN,3109.0,14MkTz9o9W3CYxx6PAFYzM
149,2021-07-01,Hong Kong,MOVE_UP,3107.0,05hC0bzyZaqn4mxUNAdKNc
150,2021-07-01,Hong Kong,MOVE_DOWN,3090.0,18vXApRmJSgQ6wG2ll9AOg
151,2021-07-01,Hong Kong,MOVE_UP,3079.0,77MdvMx9L4ZQuLhhn3o21h
152,2021-07-01,Hong Kong,MOVE_UP,3061.0,6fxVffaTuwjgEk5h9QyRjy
153,2021-07-01,Hong Kong,MOVE_UP,3056.0,04TshWXkhV1qkqHzf31Hn6
154,2021-07-01,Hong Kong,MOVE_UP,3046.0,6UelLqGlWMcVH1E5c4H7lY
155,2021-07-01,Hong Kong,MOVE_UP,3043.0,2BgEsaKNfHUdlh97KmvFyo
156,2021-07-01,Hong Kong,MOVE_UP,3040.0,35mvY5S1H3J2QZyna3TFe0
157,2021-07-01,Hong Kong,MOVE_UP,3029.0,5uCax9HTNlzGybIStD3vDh
158,2021-07-01,Hong Kong,MOVE_UP,3010.0,5xrtzzzikpG3BLbo4q1Yul
159,2021-07-01,Hong Kong,MOVE_DOWN,3006.0,3iLKCRMxecPzGxLyjW85gk
160,2021-07-01,Hong Kong,MOVE_DOWN,3003.0,0F02KChKwbcQ3tk4q1YxLH
161,2021-07-01,Hong Kong,MOVE_UP,2989.0,0B2fMb8KALZeoFbRv7m3iE
162,2021-07-01,Hong Kong,SAME_POSITION,2980.0,5uMkdWf1H6JEcpcdnPOSZM
163,2021-07-01,Hong Kong,MOVE_DOWN,2973.0,2UbVnbE5FH6008mAm6Mmgw
164,2021-07-01,Hong Kong,MOVE_UP,2965.0,51sQ8I5sJYBXB0UatyrH5R
165,2021-07-01,Hong Kong,MOVE_UP,2946.0,7BKLCZ1jbUBVqRi2FVlTVw
166,2021-07-01,Hong Kong,MOVE_DOWN,2944.0,5nCwjUUsmBuNZKn9Xu10Os
167,2021-07-01,Hong Kong,MOVE_DOWN,2937.0,4cSCMlCcY65zlz1ZPhqsCe
168,2021-07-01,Hong Kong,MOVE_UP,2930.0,68EMU2RD1ECNeOeJ5qAXCV
169,2021-07-01,Hong Kong,MOVE_DOWN,2926.0,4tfq9jwRXV2glNZK3r5m2X
170,2021-07-01,Hong Kong,MOVE_DOWN,2925.0,22jikE8F9Ijg5B7dtLHjU0
171,2021-07-01,Hong Kong,NEW_ENTRY,2922.0,45bE4HXI0AwGZXfZtMp8JR
172,2021-07-01,Hong Kong,MOVE_DOWN,2920.0,332GJ8ykVuEt3jOT1sy7j6
173,2021-07-01,Hong Kong,MOVE_DOWN,2912.0,44TjgDPUGUqU3ylA8tBkVf
174,2021-07-01,Hong Kong,NEW_ENTRY,2887.0,7BqBn9nzAq8spo5e7cZ0dJ
175,2021-07-01,Hong Kong,MOVE_DOWN,2884.0,1ldMLpWMFcD28gbd9TICkv
176,2021-07-01,Hong Kong,MOVE_UP,2881.0,6Im9k8u9iIzKMrmV7BWtlF
177,2021-07-01,Hong Kong,MOVE_DOWN,2872.0,4FMwwmXVBycsaVxCK85rzq
178,2021-07-01,Hong Kong,MOVE_UP,2869.0,3cthRwQ2X0SNTaauD7tjn5
179,2021-07-01,Hong Kong,MOVE_DOWN,2867.0,0FFsgUoFibYISzMxuGS61W
180,2021-07-01,Hong Kong,MOVE_DOWN,2866.0,0hEFpdoj2feFvKNs13MSwa
181,2021-07-01,Hong Kong,MOVE_DOWN,2863.0,3Z8FwOEN59mRMxDCtb8N0A
182,2021-07-01,Hong Kong,MOVE_DOWN,2856.0,7xAVLrbnud6OrU6f4FmxDr
183,2021-07-01,Hong Kong,NEW_ENTRY,2855.0,3Uo7WG0vmLQ07WB4BDwy7D
184,2021-07-01,Hong Kong,MOVE_UP,2850.0,2Fxmhks0bxGSBdJ92vM42m
185,2021-07-01,Hong Kong,MOVE_DOWN,2848.0,5aYqsinCWU3jaSb7ds2eV8
186,2021-07-01,Hong Kong,MOVE_UP,2841.0,4UD5xrQI4nKftCje1y5Te9
187,2021-07-01,Hong Kong,MOVE_DOWN,2840.0,3KdoeNlEN0BoAKWzaRLNZa
188,2021-07-01,Hong Kong,MOVE_UP,2816.0,4eQKKfqMKSofIelC3fXyjn
189,2021-07-01,Hong Kong,MOVE_DOWN,2800.0,2fzOOTi4YDXENpUCr1fiaW
190,2021-07-01,Hong Kong,MOVE_DOWN,2793.0,6y4GYuZszeXNOXuBFsJlos
191,2021-07-01,Hong Kong,NEW_ENTRY,2788.0,0E4Y1XIbs8GrAT1YqVy6dq
192,2021-07-01,Hong Kong,MOVE_UP,2774.0,2AllsVsmrJkEwXPXwDBCQu
193,2021-07-01,Hong Kong,MOVE_DOWN,2769.0,4J3xGcdeTondAni5xd9kmm
194,2021-07-01,Hong Kong,NEW_ENTRY,2766.0,70eFcWOvlMObDhURTqT4Fv
195,2021-07-01,Hong Kong,MOVE_DOWN,2764.0,3OPTWqYDBDBWFksDT5KnjC
196,2021-07-01,Hong Kong,NEW_ENTRY,2751.0,5QO79kh1waicV47BqGRL3g
197,2021-07-01,Hong Kong,NEW_ENTRY,2749.0,1Slwb6dOYkBlWal1PGtnNg
198,2021-07-01,Hong Kong,NEW_ENTRY,2745.0,6FZDfxM3a3UCqtzo5pxSLZ
199,2021-07-01,Hong Kong,NEW_ENTRY,2715.0,0hpYo5x9iNMGz52fRrflbT
200,2021-07-01,Hong Kong,MOVE_DOWN,2705.0,5ZGvVkLO6w2Dc8JaR5CT3K
1,2021-07-02,Hong Kong,SAME_POSITION,25440.0,06sDxr7MbbwFyTP1f6rvvl
2,2021-07-02,Hong Kong,SAME_POSITION,21103.0,6PQ88X9TkUIAUIZJHW2upE
3,2021-07-02,Hong Kong,SAME_POSITION,18227.0,32QnXosZq7A11knnBAEqk7
4,2021-07-02,Hong Kong,MOVE_UP,17776.0,2P5Eeh29qJrYa1T27cdL3B
5,2021-07-02,Hong Kong,MOVE_DOWN,16300.0,2bgTY4UwhfBYhGT4HUYStN
6,2021-07-02,Hong Kong,MOVE_UP,15118.0,63QmxPL3QlchvXcHLsI6UM
7,2021-07-02,Hong Kong,MOVE_DOWN,14908.0,2Mpuy9fsafkQxX3DSow9xw
8,2021-07-02,Hong Kong,MOVE_UP,14567.0,1rTnGbIahUmq6fK8RWAXfd
9,2021-07-02,Hong Kong,MOVE_UP,13860.0,5Mg4jtsrw6DVRXApAhQm7j
10,2021-07-02,Hong Kong,MOVE_DOWN,13783.0,4iJyoBOLtHqaGxP12qzhQI
11,2021-07-02,Hong Kong,MOVE_DOWN,13342.0,3DarAbFujv6eYNliUTyqtz
12,2021-07-02,Hong Kong,MOVE_DOWN,13254.0,4ZtFanR9U6ndgddUvNcjcG
13,2021-07-02,Hong Kong,SAME_POSITION,13041.0,2w9A7fvq6ka5CB9l7wDZXG
14,2021-07-02,Hong Kong,MOVE_UP,12904.0,0Q3jOuEpx8Esi2qZMQSghl
15,2021-07-02,Hong Kong,MOVE_UP,12887.0,3Cdpq0qhrgiwPRkR720FZf
16,2021-07-02,Hong Kong,MOVE_UP,12833.0,596MqWmYLojkoFvgygAteu
17,2021-07-02,Hong Kong,SAME_POSITION,12513.0,0up477QX11ffSLneXa0xHA
18,2021-07-02,Hong Kong,MOVE_DOWN,12116.0,0k4d5YPDr1r7FX77VdqWez
19,2021-07-02,Hong Kong,SAME_POSITION,11763.0,4xqUroNrreYU2CobUl84NH
20,2021-07-02,Hong Kong,SAME_POSITION,11655.0,7Fr7Ag2bQyJl86BtsFmdOW
21,2021-07-02,Hong Kong,MOVE_UP,11029.0,4ckh5VN2HYQ8TzS51Nh7ol
22,2021-07-02,Hong Kong,MOVE_DOWN,10750.0,37BZB0z9T8Xu7U3e65qxFy
23,2021-07-02,Hong Kong,SAME_POSITION,10609.0,4QgsL3BOO0VvMAFhh2nZVU
24,2021-07-02,Hong Kong,SAME_POSITION,10585.0,3jBI3hvc9Z0FUcdyj7spEm
25,2021-07-02,Hong Kong,MOVE_UP,10520.0,33c5MYdr80WqXws9pj06b4
26,2021-07-02,Hong Kong,MOVE_UP,10457.0,5liLMCOcyXU45BY9LzyC6r
27,2021-07-02,Hong Kong,MOVE_UP,10173.0,4AoYnU8ckSUQnO7Ek0vy38
28,2021-07-02,Hong Kong,MOVE_UP,9968.0,3J38ebFuwO7JOMItNdULOu
29,2021-07-02,Hong Kong,MOVE_DOWN,9824.0,48O2Nnm9M11blfiIlh5IBs
30,2021-07-02,Hong Kong,MOVE_DOWN,9592.0,5nujrmhLynf4yMoMtj8AQF
31,2021-07-02,Hong Kong,MOVE_UP,9567.0,0uAW2j0sLBHVr3Gs9IGIqf
32,2021-07-02,Hong Kong,SAME_POSITION,9487.0,46v9FzDCZyGELTEsAnnXFf
33,2021-07-02,Hong Kong,SAME_POSITION,9435.0,7MAibcTli4IisCtbHKrGMh
34,2021-07-02,Hong Kong,MOVE_UP,9168.0,0pupuSkMBGpzsqG3fWcyPe
35,2021-07-02,Hong Kong,MOVE_DOWN,9160.0,6HU7h9RYOaPRFeh0R3UeAr
36,2021-07-02,Hong Kong,MOVE_UP,8859.0,3pciLZ7pj3WiwP8AmKdze8
37,2021-07-02,Hong Kong,SAME_POSITION,8765.0,3fxNCwlNPWXSaQy2Z5WqrD
38,2021-07-02,Hong Kong,MOVE_UP,8737.0,1jVw3apCOogFU1mOquNIhC
39,2021-07-02,Hong Kong,SAME_POSITION,8684.0,3OC84eKMxRJ4x0Hcwl9i4i
40,2021-07-02,Hong Kong,MOVE_UP,8510.0,7EougyUYWZdE1zCzsCA1Sx
41,2021-07-02,Hong Kong,MOVE_UP,8403.0,65oNGsynAEUS4VipI96N87
42,2021-07-02,Hong Kong,MOVE_DOWN,8376.0,4saklk6nie3yiGePpBwUoc
43,2021-07-02,Hong Kong,MOVE_UP,8291.0,4zYVhAyiJySa41foU2F645
44,2021-07-02,Hong Kong,MOVE_UP,8281.0,1ubjsQj2DEqPMqC5CCwMEw
45,2021-07-02,Hong Kong,MOVE_UP,8255.0,5OPqZ5dEqrdPGatJgnZ8xG
46,2021-07-02,Hong Kong,MOVE_DOWN,8197.0,0wqkdSzqQZDUJXOB6Etp7l
47,2021-07-02,Hong Kong,MOVE_DOWN,8088.0,7BoobGhD4x5K96Me0hqC8Q
48,2021-07-02,Hong Kong,MOVE_DOWN,7986.0,5zFglKYiknIxks8geR8rcL
49,2021-07-02,Hong Kong,MOVE_DOWN,7934.0,1i5DjVNfPxqMelMdjfI0WR
50,2021-07-02,Hong Kong,MOVE_UP,7833.0,6MCjmGYlw6mQVWRFVgBRvB
51,2021-07-02,Hong Kong,MOVE_DOWN,7809.0,67BtfxlNbhBmCDR2L2l8qd
52,2021-07-02,Hong Kong,MOVE_UP,7661.0,56Aal9B8gurDIRmlw4y74a
53,2021-07-02,Hong Kong,MOVE_DOWN,7504.0,3Q5y7orRW5COIaRKLlfkrT
54,2021-07-02,Hong Kong,SAME_POSITION,7217.0,0O7O4sssbFxoNoB4QRGra1
55,2021-07-02,Hong Kong,MOVE_UP,6936.0,24tzRRz8r26gOmQB8PEZwv
56,2021-07-02,Hong Kong,MOVE_DOWN,6933.0,3yFWbtBjZyYeDJifAHYEZ3
57,2021-07-02,Hong Kong,MOVE_UP,6886.0,62XpKzUXVB2MYL2adL4UlE
58,2021-07-02,Hong Kong,MOVE_DOWN,6648.0,5wANPM4fQCJwkGd4rN57mH
59,2021-07-02,Hong Kong,SAME_POSITION,6576.0,1SvgBClOuipapA4pPgToDW
60,2021-07-02,Hong Kong,MOVE_DOWN,6388.0,3iPbmpKBMflYd7UjdYftoj
61,2021-07-02,Hong Kong,MOVE_DOWN,6358.0,4qu63nuBpdn0qHUHuObEj1
62,2021-07-02,Hong Kong,MOVE_UP,6355.0,3Wrjm47oTz2sjIgck11l5e
63,2021-07-02,Hong Kong,MOVE_UP,6340.0,0Os0RD1apkQsWOeF2cV5w2
64,2021-07-02,Hong Kong,MOVE_DOWN,6264.0,5x9Clj56YLmklm3Zikx2iF
65,2021-07-02,Hong Kong,MOVE_DOWN,6240.0,53HxUdYRCRMdzYPG0qhGUP
66,2021-07-02,Hong Kong,MOVE_DOWN,6121.0,2zrhoHlFKxFTRF5aMyxMoQ
67,2021-07-02,Hong Kong,MOVE_UP,6040.0,3wELjotjK7vdWGYD7G9s6z
68,2021-07-02,Hong Kong,MOVE_DOWN,5840.0,4t53NE3uBLkTwW9rUgiHC8
69,2021-07-02,Hong Kong,MOVE_DOWN,5837.0,4cktbXiXOapiLBMprHFErI
70,2021-07-02,Hong Kong,MOVE_UP,5730.0,2WVbMoHdWCspdiEa7OnG1D
