rank,date,region,trend,streams,track_id
1,2017-05-01,Luxembourg,SAME_POSITION,2347.0,5CtI0qwDJkDQGwXD1H1cLb
2,2017-05-01,Luxembourg,SAME_POSITION,2180.0,7qiZfU4dY1lWllzX7mPBI3
3,2017-05-01,Luxembourg,NEW_ENTRY,1773.0,72Q0FQQo32KJloivv5xge2
4,2017-05-01,Luxembourg,MOVE_DOWN,1562.0,3rOSwuTsUlJp0Pu0MkN8r8
5,2017-05-01,Luxembourg,SAME_POSITION,1469.0,3eR23VReFzcdmS7TYCrhCe
6,2017-05-01,Luxembourg,SAME_POSITION,1446.0,6RUKPb4LETWmmr3iAEQktW
7,2017-05-01,Luxembourg,SAME_POSITION,1389.0,4aWmUDTfIPGksMNLV2rQP2
8,2017-05-01,Luxembourg,SAME_POSITION,1346.0,7KXjTSCq5nL1LoYtL7XAwS
9,2017-05-01,Luxembourg,SAME_POSITION,1321.0,6kex4EBAj0WHXDKZMEJaaF
10,2017-05-01,Luxembourg,SAME_POSITION,1266.0,1x5sYLZiu9r5E43kMlt9f8
11,2017-05-01,Luxembourg,SAME_POSITION,1261.0,0dA2Mk56wEzDgegdC6R17g
12,2017-05-01,Luxembourg,SAME_POSITION,1138.0,79cuOz3SPQTuFrp8WgftAu
13,2017-05-01,Luxembourg,NEW_ENTRY,1012.0,0KR2W3St74th8z3LS94Ffh
14,2017-05-01,Luxembourg,MOVE_DOWN,1011.0,7hDc8b7IXETo14hHIHdnhd
1,2017-05-02,Luxembourg,SAME_POSITION,2632.0,5CtI0qwDJkDQGwXD1H1cLb
2,2017-05-02,Luxembourg,MOVE_UP,2270.0,72Q0FQQo32KJloivv5xge2
3,2017-05-02,Luxembourg,MOVE_DOWN,2233.0,7qiZfU4dY1lWllzX7mPBI3
4,2017-05-02,Luxembourg,SAME_POSITION,1858.0,3rOSwuTsUlJp0Pu0MkN8r8
5,2017-05-02,Luxembourg,SAME_POSITION,1648.0,3eR23VReFzcdmS7TYCrhCe
6,2017-05-02,Luxembourg,SAME_POSITION,1629.0,6RUKPb4LETWmmr3iAEQktW
7,2017-05-02,Luxembourg,MOVE_UP,1597.0,7KXjTSCq5nL1LoYtL7XAwS
8,2017-05-02,Luxembourg,MOVE_UP,1495.0,1x5sYLZiu9r5E43kMlt9f8
9,2017-05-02,Luxembourg,MOVE_DOWN,1493.0,4aWmUDTfIPGksMNLV2rQP2
10,2017-05-02,Luxembourg,MOVE_DOWN,1489.0,6kex4EBAj0WHXDKZMEJaaF
11,2017-05-02,Luxembourg,SAME_POSITION,1380.0,0dA2Mk56wEzDgegdC6R17g
12,2017-05-02,Luxembourg,SAME_POSITION,1318.0,79cuOz3SPQTuFrp8WgftAu
13,2017-05-02,Luxembourg,MOVE_UP,1184.0,7hDc8b7IXETo14hHIHdnhd
14,2017-05-02,Luxembourg,NEW_ENTRY,1116.0,1Eck97uRMlprKOOJN9oO1E
15,2017-05-02,Luxembourg,MOVE_DOWN,1079.0,0KR2W3St74th8z3LS94Ffh
16,2017-05-02,Luxembourg,NEW_ENTRY,1041.0,1sXUWdKx03aP9Gmzft58rt
17,2017-05-02,Luxembourg,NEW_ENTRY,1038.0,1F2HXIJrE2Xn81OzT2zZvW
18,2017-05-02,Luxembourg,NEW_ENTRY,1008.0,6gpcs5eMhJwax4mIfKDYQk
19,2017-05-02,Luxembourg,NEW_ENTRY,1006.0,4WrS6vezaPwOafKJmHqMEU
1,2017-05-03,Luxembourg,SAME_POSITION,2738.0,5CtI0qwDJkDQGwXD1H1cLb
2,2017-05-03,Luxembourg,SAME_POSITION,2231.0,72Q0FQQo32KJloivv5xge2
3,2017-05-03,Luxembourg,SAME_POSITION,2065.0,7qiZfU4dY1lWllzX7mPBI3
4,2017-05-03,Luxembourg,SAME_POSITION,1796.0,3rOSwuTsUlJp0Pu0MkN8r8
5,2017-05-03,Luxembourg,MOVE_UP,1595.0,7KXjTSCq5nL1LoYtL7XAwS
6,2017-05-03,Luxembourg,MOVE_DOWN,1564.0,3eR23VReFzcdmS7TYCrhCe
7,2017-05-03,Luxembourg,MOVE_DOWN,1544.0,6RUKPb4LETWmmr3iAEQktW
8,2017-05-03,Luxembourg,MOVE_UP,1434.0,4aWmUDTfIPGksMNLV2rQP2
9,2017-05-03,Luxembourg,MOVE_UP,1396.0,0dA2Mk56wEzDgegdC6R17g
10,2017-05-03,Luxembourg,SAME_POSITION,1391.0,6kex4EBAj0WHXDKZMEJaaF
11,2017-05-03,Luxembourg,MOVE_UP,1366.0,79cuOz3SPQTuFrp8WgftAu
12,2017-05-03,Luxembourg,MOVE_DOWN,1365.0,1x5sYLZiu9r5E43kMlt9f8
13,2017-05-03,Luxembourg,MOVE_UP,1186.0,1F2HXIJrE2Xn81OzT2zZvW
14,2017-05-03,Luxembourg,SAME_POSITION,1150.0,1Eck97uRMlprKOOJN9oO1E
15,2017-05-03,Luxembourg,MOVE_DOWN,1086.0,7hDc8b7IXETo14hHIHdnhd
16,2017-05-03,Luxembourg,MOVE_DOWN,1076.0,0KR2W3St74th8z3LS94Ffh
17,2017-05-03,Luxembourg,NEW_ENTRY,1073.0,78rIJddV4X0HkNAInEcYde
